URL,Hotel Name,Is New,Total Rating,Price,Original Price,Discount,Hotel ID
https://www.oyorooms.com/208576,OYO Flagship 811346 Hotel Prince Paradise,0,9 Ratings,₹796,₹2633,69% off,208576
https://www.oyorooms.com/209067,Super OYO Flagship 811538 Hotel Big City,0,32 Ratings,₹989,₹2825,64% off,209067
https://www.oyorooms.com/209957,OYO 812071 Elginn Blu - Hotel And Restaurant,0,2 Ratings,₹1378,₹3938,65% off,209957
https://www.oyorooms.com/212417,OYO Flagship 813462 Shiva Residency,0,4 Ratings,₹1038,₹2967,65% off,212417
https://www.oyorooms.com/213063,OYO Flagship 813809 Hotel Ij Grand,0,4 Ratings,₹1184,₹3384,65% off,213063
https://www.oyorooms.com/37788,OYO 15208 Hotel Unique,0,19 Ratings,₹933,₹2760,66% off,37788
https://www.oyorooms.com/39193,OYO Hotel Livinn Hub,0,36 Ratings,₹930,₹2877,67% off,39193
https://www.oyorooms.com/42058,OYO Hotel Temple View,0,282 Ratings,₹1117,₹3191,64% off,42058
https://www.oyorooms.com/42364,Flagship Jn Residency,0,12 Ratings,₹796,₹3190,75% off,42364
https://www.oyorooms.com/43487,OYO Hotel Mall Residency,0,64 Ratings,₹870,₹3305,73% off,43487
https://www.oyorooms.com/48337,OYO Gian Residency,0,120 Ratings,₹1039,₹2968,64% off,48337
https://www.oyorooms.com/48792,OYO Gopal Ji Resorts,0,393 Ratings,₹877,₹3184,72% off,48792
https://www.oyorooms.com/53500,OYO Hotel Kapoor Residency,0,116 Ratings,₹838,₹2695,68% off,53500
https://www.oyorooms.com/57340,Capital O 38688 Royal Shelaton,0,152 Ratings,₹1111,₹3547,68% off,57340
https://www.oyorooms.com/61352,OYO 43291 Br Guest House,0,1 Ratings,₹912,₹2640,65% off,61352
https://www.oyorooms.com/6335,Super OYO Hotel Winner Inn,0,1186 Ratings,₹1149,₹3366,65% off,6335
https://www.oyorooms.com/85477,OYO Deep Guest House,1,,₹788,₹2945,73% off,85477
https://www.oyorooms.com/88842,Super OYO Flagship Hotel Kd Inn,0,90 Ratings,₹1184,₹3384,65% off,88842
https://www.oyorooms.com/95634,Super OYO Capital O 69624 Hotel Moments Inn,0,631 Ratings,₹1087,₹3107,65% off,95634
https://www.oyorooms.com/98796,OYO 71106 A K Regency,0,314 Ratings,₹963,₹3243,70% off,98796
https://www.oyorooms.com/191101,Collection O Hotel Green Park,0,45 Ratings,₹671,₹2424,72% off,191101
https://www.oyorooms.com/209846,OYO Flagship 812040 Hotel Gangeshwar,0,9 Ratings,₹599,₹1954,69% off,209846
https://www.oyorooms.com/87571,SPOT ON Hotel Rajmahal Guest House,1,,₹465,₹1698,72% off,87571
https://www.oyorooms.com/104243,Super OYO Collection O Oth Sri7 Inn,0,154 Ratings,₹1910,₹5457,64% off,104243
https://www.oyorooms.com/200731,Super OYO Hotel Hill Stay Residency,0,101 Ratings,₹626,₹2302,72% off,200731
https://www.oyorooms.com/205473,OYO Flagship 809500 Aiswaryam Rooms,1,,₹576,₹1789,67% off,205473
https://www.oyorooms.com/104254,Super OYO Collection O Meera International,0,1213 Ratings,₹1670,₹4772,65% off,104254
https://www.oyorooms.com/113753,Collection O 81780 Sormistha Residency,0,1 Ratings,₹2211,₹6317,64% off,113753
https://www.oyorooms.com/182602,Collection O 89673 Hindustan Vila,0,77 Ratings,₹1458,₹4165,64% off,182602
https://www.oyorooms.com/191906,"Townhouse 1146 Spices, Asansol",1,,₹2134,₹6097,64% off,191906
https://www.oyorooms.com/197997,OYO Flagship Alisha Lodge,1,,₹1866,₹5331,64% off,197997
https://www.oyorooms.com/207666,OYO Flagship 810771 Alisha Inn,0,78 Ratings,₹1257,₹3591,64% off,207666
https://www.oyorooms.com/209422,Collection O 811748 Hotel Hindustan International,1,,₹996,₹2847,65% off,209422
https://www.oyorooms.com/55867,SPOT ON 37294 Hotel Elite Plaza,1,,₹786,₹2439,67% off,55867
https://www.oyorooms.com/211820,OYO 813114 Blue Moon In,1,,₹855,₹2444,65% off,211820
https://www.oyorooms.com/108306,OYO Flagship 77229 Shangrila Farm House And Resort,0,9 Ratings,₹1515,₹4328,64% off,108306
https://www.oyorooms.com/111691,Collection O 80110 Shangrila Rivera Execitive,0,423 Ratings,₹1146,₹3275,65% off,111691
https://www.oyorooms.com/172969,Capital O 86861 Hotel Ramraj Inn,0,105 Ratings,₹576,₹2048,71% off,172969
https://www.oyorooms.com/189660,Flagship Hotel Chhaya,0,470 Ratings,₹1104,₹3416,67% off,189660
https://www.oyorooms.com/190513,OYO 93100 Manas Resort,0,2 Ratings,₹892,₹2548,64% off,190513
https://www.oyorooms.com/194985,Flagship 70230 Homely Stay,0,216 Ratings,₹626,₹2184,71% off,194985
https://www.oyorooms.com/210556,OYO 812423 Srushti Resorts And Bar Permit Room,1,,₹549,₹1789,69% off,210556
https://www.oyorooms.com/212411,OYO Flagship 813456 Hotel Ravikiran Executive,1,,₹1319,₹3768,64% off,212411
https://www.oyorooms.com/44951,OYO Hotel Kandil,0,85 Ratings,₹1255,₹3587,65% off,44951
https://www.oyorooms.com/84971,Flagship Hotel Lotus Inn,1,,₹576,₹2189,73% off,84971
https://www.oyorooms.com/88962,OYO Hotel New Raj Kamal,0,524 Ratings,₹1150,₹3569,67% off,88962
https://www.oyorooms.com/115532,Super OYO Sahu Room's,0,293 Ratings,₹752,₹2335,67% off,115532
https://www.oyorooms.com/204435,Super OYO Flagship Shambhu Hotel,0,39 Ratings,₹2094,₹5984,65% off,204435
https://www.oyorooms.com/205865,Collection O JB Resort,1,,₹2671,₹7631,64% off,205865
https://www.oyorooms.com/208390,SPOT ON 811227 Saket Honest Hotel,1,,₹1749,₹4997,64% off,208390
https://www.oyorooms.com/209165,OYO Home 811602 K K Palace Homestay,0,1 Ratings,₹1749,₹4997,64% off,209165
https://www.oyorooms.com/209515,OYO Home 811809 Shankar Homestay,0,3 Ratings,₹1748,₹4995,65% off,209515
https://www.oyorooms.com/209746,OYO Home 811964 Radhika Palace & Restaurant Homestay,0,7 Ratings,₹1403,₹4008,64% off,209746
https://www.oyorooms.com/210076,OYO 812145 Ashok Aashram,1,,₹917,₹2847,67% off,210076
https://www.oyorooms.com/210837,OYO Home 812583 Gokul Palace Homestay,1,,₹1864,₹5325,64% off,210837
https://www.oyorooms.com/211689,OYO HOME Satvik Homestay,0,2 Ratings,₹1749,₹4997,64% off,211689
https://www.oyorooms.com/212077,OYO Home Hotel Sahu Inn Homestay,1,,₹938,₹2681,65% off,212077
https://www.oyorooms.com/212268,OYO Home Vimla Homestay,0,2 Ratings,₹1403,₹4008,64% off,212268
https://www.oyorooms.com/213163,OYO Home Chaa Bhaiya Homestay,1,,₹1576,₹4502,64% off,213163
https://www.oyorooms.com/213421,OYO HOME Kanak Hotel & Resort Homestay,1,,₹1749,₹4997,64% off,213421
https://www.oyorooms.com/213606,SPOT ON 814075 Raghav Ji Sarkar Banquet And Marriage Lawn,0,3 Ratings,₹1026,₹2931,64% off,213606
https://www.oyorooms.com/45120,Super OYO Flagship Hotel Amarpali,0,216 Ratings,₹1105,₹3157,64% off,45120
https://www.oyorooms.com/45888,Super OYO Maurice,0,17 Ratings,₹1681,₹4802,64% off,45888
https://www.oyorooms.com/207407,OYO Flagship 810634 New Mayuri Lodge,0,2 Ratings,₹576,₹2426,76% off,207407
https://www.oyorooms.com/79186,OYO Flagship Hotel Digantika,1,,₹1518,₹4338,65% off,79186
https://www.oyorooms.com/211044,SPOT ON 812719 Jogindra Lodge,0,1 Ratings,₹1334,₹3812,65% off,211044
https://www.oyorooms.com/100162,OYO Hotel Fiesta Grand,0,198 Ratings,₹1076,₹3075,65% off,100162
https://www.oyorooms.com/100369,OYO The Red Velvet,1,,₹1299,₹5602,76% off,100369
https://www.oyorooms.com/101479,Capital O Pv Residency Near Nagasandra Metro Station,0,287 Ratings,₹618,₹2038,69% off,101479
https://www.oyorooms.com/103354,Collection O 73565 J J Global Exotics Stays,0,125 Ratings,₹1828,₹6700,72% off,103354
https://www.oyorooms.com/103428,SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station,1,,₹670,₹2079,67% off,103428
https://www.oyorooms.com/103794,Capital O N R Comforts Near Nexus Mall Koramangala,0,196 Ratings,₹1379,₹3941,65% off,103794
https://www.oyorooms.com/103978,Super OYO Collection O 73977 Malleswaram,0,829 Ratings,₹2796,₹8109,65% off,103978
https://www.oyorooms.com/104120,Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall,1,,₹2342,₹6692,65% off,104120
https://www.oyorooms.com/104248,Super OYO Silverkey Executive Stays Yelahanka New Town,1,,₹1812,₹5269,65% off,104248
https://www.oyorooms.com/104373,Super OYO Kings Suites Near ITC Factory,0,480 Ratings,₹1959,₹5597,64% off,104373
https://www.oyorooms.com/104401,Super OYO Townhouse Boutique Design 363 Sarjapur Near 7D Voyage,0,1065 Ratings,₹1851,₹5289,65% off,104401
https://www.oyorooms.com/104480,Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,0,2690 Ratings,₹1502,₹4292,65% off,104480
https://www.oyorooms.com/104516,Super OYO Townhouse106AirportRoad,0,3320 Ratings,₹934,₹3556,73% off,104516
https://www.oyorooms.com/104869,Super OYO Collection O Compact Green View Near Nexus Mall Koramangala,0,2126 Ratings,₹1757,₹5457,67% off,104869
https://www.oyorooms.com/105043,OYO Townhouse 078 DODDA BANASWADI,1,,₹1773,₹5065,64% off,105043
